epoch,train_loss,train_acc
1,4.787491373697916,0.8666666666666667
2,4.787491418202718,0.9166666666666666
3,4.787491311391195,0.8083333333333333
4,4.787491418202718,0.85
5,4.787491734822591,0.9333333333333333
6,4.787491737365722,0.8583333333333333
7,4.787491695404053,0.8333333333333334
8,4.787491461435954,0.8166666666666667
9,4.7874916025797525,0.825
10,4.78749198659261,0.9083333333333333
11,4.787491812388102,0.8
12,4.787491554260254,0.875
13,4.787491587320964,0.875
14,4.787491636912028,0.775
15,4.787491647084554,0.8333333333333334
16,4.787491680145264,0.9333333333333333
17,4.787491577148438,0.8
18,4.7874915962219236,0.8166666666666667
19,4.787491687774658,0.85
20,4.787491460164388,0.8333333333333334
21,4.78749168141683,0.8166666666666667
22,4.787491167704264,0.8916666666666667
23,4.787491265614827,0.8416666666666667
24,4.787491400400797,0.8333333333333334
25,4.787491451263428,0.9416666666666667
26,4.787491923014323,0.875
27,4.787491338094076,0.8333333333333334
28,4.7874914817810055,0.8416666666666667
29,4.787491359710693,0.7916666666666666
30,4.787491511027018,0.8916666666666667
31,4.787491612752278,0.8583333333333333
32,4.787491509755452,0.8833333333333333
33,4.787491587320964,0.775
34,4.787492050170899,0.7666666666666667
35,4.787491430918376,0.875
36,4.787491629282633,0.825
37,4.78749165725708,0.8083333333333333
38,4.787491388956706,0.8333333333333334
39,4.78749149831136,0.8916666666666667
40,4.787491423288981,0.9
41,4.787491504669189,0.8166666666666667
42,4.787491511027018,0.925
43,4.78749153137207,0.9583333333333334
44,4.787491175333659,0.8833333333333333
45,4.787491405487061,0.9416666666666667
46,4.787491546630859,0.85
47,4.7874918441772465,0.775
48,4.787491820017497,0.9166666666666666
49,4.7874912236531575,0.9166666666666666
50,4.7874912096659346,0.7916666666666666
51,4.787491493225097,0.8916666666666667
52,4.787491324106853,0.8833333333333333
53,4.787491455078125,1.0333333333333334
54,4.787491366068522,0.8666666666666667
55,4.787490980784098,0.8666666666666667
56,4.787491441090902,0.925
57,4.787491125742594,0.8583333333333333
58,4.787491511027018,0.9666666666666667
59,4.7874909680684405,0.9
60,4.787491277058919,0.85
61,4.78749156443278,0.8916666666666667
62,4.787490832010905,0.8916666666666667
63,4.7874912287394205,0.7833333333333333
64,4.787491149902344,0.875
65,4.7874912096659346,0.875
66,4.787491200764974,0.8
67,4.7874915924072265,0.8916666666666667
68,4.787491443634033,0.8416666666666667
69,4.787491250356038,0.9333333333333333
70,4.787490792592367,0.9083333333333333
71,4.787491246541341,0.9166666666666666
72,4.787491457621257,0.9083333333333333
73,4.787490787506104,0.9083333333333333
74,4.787491008758545,0.8666666666666667
75,4.787491444905599,0.875
76,4.787491247812907,0.8333333333333334
77,4.787491659800212,0.9583333333333334
78,4.787491377512614,0.8416666666666667
79,4.787491692860921,0.8333333333333334
80,4.787491063435873,0.875
81,4.787491208394369,0.825
82,4.787490922292074,0.8833333333333333
83,4.787491212209066,0.8833333333333333
84,4.787490903218587,0.9333333333333333
85,4.787491306304932,0.875
86,4.787491338094076,0.85
87,4.787491027832031,0.9166666666666666
88,4.78749106725057,0.8583333333333333
89,4.7874912211100265,0.875
90,4.787491495768229,0.9583333333333334
91,4.787491322835287,0.9166666666666666
92,4.787491268157959,0.95
93,4.787490935007731,0.875
94,4.7874912147521975,0.8583333333333333
95,4.787491158803304,0.9
96,4.787491306304932,0.9333333333333333
97,4.787491216023763,0.8583333333333333
98,4.787491062164307,0.8833333333333333
99,4.7874908485412595,0.8916666666666667
100,4.787491277058919,0.9416666666666667
101,4.787491195678711,0.8916666666666667
102,4.787491124471028,0.9416666666666667
103,4.787491142272949,0.8916666666666667
104,4.787490529378255,0.8833333333333333
105,4.787491087595622,0.925
106,4.7874909655253095,0.8833333333333333
107,4.787491578420004,1.0166666666666666
108,4.787491199493409,0.875
109,4.7874914741516115,0.9166666666666666
110,4.787491238911946,0.9083333333333333
111,4.787490865071614,0.9583333333333334
112,4.787490975697835,0.8833333333333333
113,4.787490896860758,0.775
114,4.787491116841634,0.9666666666666667
115,4.787490923563639,0.8833333333333333
116,4.787491073608399,0.8416666666666667
117,4.7874912096659346,0.9416666666666667
118,4.787491031646729,0.9166666666666666
119,4.787491321563721,0.9833333333333333
120,4.787491174062093,0.8833333333333333
