epoch,train_loss,train_acc
0,4.787760542551676,0.9
1,4.787688915252685,0.8166666666666667
2,4.787606867472331,0.85
3,4.787584698994954,0.85
4,4.787492162068685,0.7666666666666667
5,4.787419732411703,0.8083333333333333
6,4.787344472249349,0.9333333333333333
7,4.787212827046712,0.85
8,4.78698850886027,0.8583333333333333
9,4.786625425974528,0.975
10,4.785919731140137,1.3166666666666667
11,4.783134703318278,1.1083333333333334
12,4.758214707692464,0.9666666666666667
13,4.670100653330485,1.5666666666666667
14,4.579086228688558,2.0083333333333333
15,4.502660027821859,2.558333333333333
16,4.450427228291829,2.675
17,4.414508407592773,3.0083333333333333
18,4.365422426223755,3.558333333333333
19,4.265303413391114,4.5
20,4.186323174158732,5.05
21,4.1382286160786945,5.6
22,4.104954844792684,6.058333333333334
23,4.058437171936035,6.616666666666666
24,4.019216884613037,6.866666666666666
25,3.9751116905212402,7.908333333333333
26,3.9449997838338215,7.983333333333333
27,3.893733252843221,8.791666666666666
28,3.856432555516561,9.133333333333333
29,3.8017532132466636,10.05
30,3.7601631139119465,10.433333333333334
31,3.7009974931081135,11.241666666666667
32,3.6346568425496417,12.125
33,3.582805917739868,12.925
34,3.518935047785441,14.5
35,3.4547556864420574,14.966666666666667
36,3.391654760996501,16.058333333333334
37,3.333504379908244,17.408333333333335
38,3.287928387959798,18.083333333333332
39,3.19102010790507,19.616666666666667
40,3.1397354049682615,20.2
41,3.0488196404774985,22.783333333333335
42,2.9671975186665853,23.991666666666667
43,2.8856382115681964,26.141666666666666
44,2.78073344262441,27.633333333333333
45,2.6954495747884115,29.7
46,2.5902254254023234,31.941666666666666
47,2.5030762383143106,34.00833333333333
48,2.3683709529240926,36.06666666666667
49,2.2648302491505943,38.766666666666666
50,2.1378258441289266,41.84166666666667
51,2.0106794430414836,44.13333333333333
52,1.8801599502563477,47.625
53,1.7230457290013632,51.30833333333333
54,1.5857474482854208,55.083333333333336
55,1.4587617026964823,57.74166666666667
56,1.3008656260172526,61.575
57,1.1968499720891317,64.33333333333333
58,1.0615534710884094,68.53333333333333
59,0.9468368972142538,71.05833333333334
60,0.8479091676076254,74.325
61,0.7594641040960948,76.84166666666667
62,0.6723383342425029,79.75833333333334
63,0.6016270121335984,81.925
64,0.5146191388368606,83.66666666666667
65,0.5157929703394571,84.29166666666667
66,0.4710261120200157,86.01666666666667
67,0.41095664391915004,87.29166666666667
68,0.3733865982393424,88.375
69,0.33907994778454303,89.76666666666667
70,0.3103241565823555,90.61666666666666
71,0.28743461875120796,91.175
72,0.27420263580977916,91.575
73,0.24535938277343908,92.65
74,0.2110949708968401,93.56666666666666
75,0.2263613734121124,93.23333333333333
76,0.20374254449953635,93.93333333333334
77,0.16612187080581983,95.2
78,0.17383546912670136,94.83333333333333
79,0.17374840403099856,94.78333333333333
80,0.1596653355608384,95.30833333333334
81,0.13735163977990547,95.86666666666666
82,0.13875557082518936,96.025
83,0.15883524184922376,95.36666666666666
84,0.1348314003633956,96.20833333333333
85,0.12110553665459156,96.30833333333334
86,0.11335278909094632,96.73333333333333
87,0.11722372518107295,96.51666666666667
88,0.11223246417815487,96.68333333333334
89,0.0974122124525408,97.125
90,0.10206142604413132,96.95
91,0.08228770666072766,97.6
92,0.09781145289850732,97.25
93,0.08509251022835572,97.46666666666667
94,0.08524437462786834,97.43333333333334
95,0.0811070462159502,97.625
96,0.08080251306714491,97.64166666666667
97,0.08805070298040907,97.325
98,0.0834746483763059,97.68333333333334
99,0.07237256053152184,97.90833333333333
100,0.07605494108516724,97.725
101,0.07947477492348601,97.675
102,0.06354083584388719,98.13333333333334
103,0.05939793493133038,98.21666666666667
104,0.0644178706932192,98.025
105,0.06060245631029829,98.24166666666666
106,0.06278369758371263,98.09166666666667
107,0.06091612927025805,98.225
108,0.07273553899892916,97.925
109,0.04926353817782365,98.56666666666666
110,0.04846868562869107,98.55833333333334
111,0.053814492800583445,98.475
112,0.04973342615490158,98.58333333333333
113,0.042528295455810924,98.70833333333333
114,0.06230752414961656,98.29166666666667
115,0.048437837917978566,98.525
116,0.053116837022205196,98.425
117,0.04713992660756533,98.43333333333334
118,0.04463384936206664,98.75833333333334
119,0.054316056453467654,98.45833333333333
